#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2016 04 12 15 20 301  5.5  6.8 99.00 99.00 99.00 999 1026.8   3.0   4.4  -2.6 99.0 99.00 
2016 04 12 15 30 304  5.7  6.9 99.00 99.00 99.00 999 1027.0   3.1   4.4  -2.4 99.0 99.00 
2016 04 12 15 40 309  5.3  6.4  0.53  3.33  3.20 302 1027.0   3.1   4.4  -2.5 99.0 99.00 
2016 04 12 15 50 312  4.8  6.3 99.00 99.00 99.00 999 1027.1   3.2   4.4  -2.3 99.0 99.00 
2016 04 12 16 00 308  4.7  5.9 99.00 99.00 99.00 999 1027.2   3.3   4.4  -2.4 99.0 99.00 
2016 04 12 16 10 303  4.5  5.6 99.00 99.00 99.00 999 1027.3   3.3   4.4  -2.6 99.0 99.00 
2016 04 12 16 20 296  4.2  5.4 99.00 99.00 99.00 999 1027.4   3.4   4.4  -2.6 99.0 99.00 
2016 04 12 16 30 297  3.6  4.6 99.00 99.00 99.00 999 1027.3   3.4   4.4  -2.5 99.0 99.00 
2016 04 12 16 40 300  3.6  4.4  0.42  3.57  3.22 299 1027.4   3.5   4.4  -2.7 99.0 99.00 
2016 04 12 16 50 299  3.1  3.8 99.00 99.00 99.00 999 1027.6   3.5   4.4  -2.5 99.0 99.00 
2016 04 12 17 00 296  3.2  3.8 99.00 99.00 99.00 999 1027.5   3.7   4.4  -2.3 99.0 99.00 
2016 04 12 17 10 302  3.8  4.9 99.00 99.00 99.00 999 1027.6   3.8   4.4  -2.3 99.0 99.00 
2016 04 12 17 20 296  3.3  4.3 99.00 99.00 99.00 999 1027.6   3.8   4.4  -2.4 99.0 99.00 
2016 04 12 17 30 300  3.3  4.2 99.00 99.00 99.00 999 1027.6   3.9   4.5  -2.0 99.0 99.00 
2016 04 12 17 40 299  3.0  3.7  0.34  2.86  3.04 301 1027.6   3.9   4.4  -1.9 99.0 99.00 
2016 04 12 17 50 299  2.6  3.4 99.00 99.00 99.00 999 1027.8   4.0   4.4  -1.7 99.0 99.00 
2016 04 12 18 00 343  2.5  3.6 99.00 99.00 99.00 999 1027.8   3.9   4.4  -1.8 99.0 99.00 
2016 04 12 18 10  31  2.4  3.3 99.00 99.00 99.00 999 1027.9   3.7   4.4  -1.6 99.0 99.00 
2016 04 12 18 20  35  1.7  2.3 99.00 99.00 99.00 999 1027.9   3.7   4.4  -1.5 99.0 99.00 
2016 04 12 18 30  43  1.6  2.2 99.00 99.00 99.00 999 1028.0   3.6   4.4  -1.7 99.0 99.00 
2016 04 12 18 40  50  1.5  1.9  0.27  2.94  2.92 304 1028.1   3.7   4.4  -2.0 99.0 99.00 
2016 04 12 18 50  52  1.7  2.2 99.00 99.00 99.00 999 1028.1   3.7   4.4  -1.9 99.0 99.00 
2016 04 12 19 00  55  1.9  2.5 99.00 99.00 99.00 999 1028.2   3.7   4.4  -1.9 99.0 99.00 
2016 04 12 19 10  66  2.2  2.8 99.00 99.00 99.00 999 1028.1   3.8   4.4  -1.6 99.0 99.00 
2016 04 12 19 20  81  2.2  2.9 99.00 99.00 99.00 999 1028.2   3.8   4.5  -1.6 99.0 99.00 
2016 04 12 19 30  99  2.0  2.7 99.00 99.00 99.00 999 1028.2   3.7   4.5  -1.7 99.0 99.00 
2016 04 12 19 40 117  1.9  2.3  0.25 99.00  2.89 999 1028.2   3.8   4.5  -1.6 99.0 99.00 
2016 04 12 19 50 131  2.0  2.8 99.00 99.00 99.00 999 1028.2   3.8   4.6  -1.7 99.0 99.00 
2016 04 12 20 00 124  1.8  2.5 99.00 99.00 99.00 999 1028.2   3.8   4.6  -1.9 99.0 99.00 
2016 04 12 20 10 126  2.1  2.7 99.00 99.00 99.00 999 1028.2   3.8   4.5  -1.9 99.0 99.00 
2016 04 12 20 20 134  2.0  2.5 99.00 99.00 99.00 999 1028.2   3.8   4.7  -1.8 99.0 99.00 
2016 04 12 20 30 128  2.0  2.5 99.00 99.00 99.00 999 1028.2   3.9   4.7  -1.7 99.0 99.00 
2016 04 12 20 40 132  2.3  2.8  0.23 99.00  2.85 999 1028.2   3.9   4.7  -1.7 99.0 99.00 
2016 04 12 20 50 120  2.3  3.0 99.00 99.00 99.00 999 1028.1   3.9   4.7  -1.7 99.0 99.00 
2016 04 12 21 00 127  2.5  3.1 99.00 99.00 99.00 999 1028.2   3.9   4.7  -1.6 99.0 99.00 
2016 04 12 21 10 123  2.6  3.4 99.00 99.00 99.00 999 1028.2   4.0   4.8  -1.4 99.0 99.00 
2016 04 12 21 20 133  2.4  3.2 99.00 99.00 99.00 999 1028.2   4.0   4.7  -1.5 99.0 99.00 
2016 04 12 21 30 134  2.7  3.4 99.00 99.00 99.00 999 1028.3   4.0   4.8  -1.5 99.0 99.00 
